timestamp,question,answer,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness

GEMINI

2025-11-04 10:36:34,A chi sono riservati principalmente gli appelli straordinari?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.130
2025-11-04 10:36:34,Chi decide se istituire o meno un appello straordinario?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.133
2025-11-04 10:36:34,A chi deve comunicare il docente l'istituzione di un appello straordinario?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.131
2025-11-04 10:36:34,Cosa accade se il Presidente del CIL non risponde entro una settimana alla proposta di un appello straordinario?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.153
2025-11-04 10:36:34,Quali fattori può considerare il docente nel valutare una richiesta di appello straordinario?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.144
2025-11-04 10:36:34,Esiste un limite massimo di appelli straordinari che un docente può istituire?,Non presente nei documenti.,1.000,0.000,0.950,1.000,0.928
2025-11-04 10:36:34,Quando inizia e quando termina l'anno accademico 2025/2026?,"Il contesto fornisce informazioni sulle sessioni di laurea per l'Anno Accademico 2025/2026, indicando che l'ultima discussione tesi è prevista per il 22 aprile 2027, come riportato in [Fonte 5]: ""Anno Accademico 2025/2026 ... Primaverile 12 marzo 1 aprile 22 aprile 2027"". Non sono presenti riferimenti alla data di inizio dell'anno accademico 2025/2026.",0.600,0.000,0.000,0.000,0.210
2025-11-04 10:36:34,Quali sono le principali festività nazionali indicate nel calendario?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.127
2025-11-04 10:36:34,Quali sono i giorni festivi specifici per la sede di Perugia?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.115
2025-11-04 10:36:34,Qual è il periodo previsto per le vacanze natalizie?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.136
2025-11-04 10:36:34,Quando iniziano e terminano le vacanze pasquali?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.135
2025-11-04 10:36:34,Durante quali periodi le attività didattiche sono sospese per le vacanze?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.123
2025-11-04 10:36:34,Le lezioni iniziano a ottobre 2025?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.146
2025-11-04 10:36:34,Per quale anno accademico si riferisce il calendario delle lauree?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.129
2025-11-04 10:36:34,Quando si svolge la prima sessione di laurea dell'anno accademico 2025-2026?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.134
2025-11-04 10:36:34,Qual è l'ultima sessione di laurea prevista nel calendario?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.129
2025-11-04 10:36:34,Quante sessioni di laurea sono previste complessivamente nel calendario 2025-2026?,"Nel calendario 2025-2026 sono previste complessivamente 5 sessioni di laurea. Le sessioni sono: Estiva (9 luglio 2026), Estiva (8 ottobre 2026), Autunnale (3 dicembre 2026), Invernale (11 febbraio 2027) e Primaverile (22 aprile 2027).",1.000,0.983,0.200,1.000,0.787
2025-11-04 10:36:34,Le date delle lauree sono identiche per i corsi triennali e magistrali?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.141
2025-11-04 10:36:34,Vengono specificate le scadenze per la presentazione della domanda di laurea?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.158
2025-11-04 10:36:34,È indicato l’orario preciso di inizio delle sedute di laurea?,Non presente nei documenti.,1.000,0.000,0.756,1.000,0.903
2025-11-04 10:36:34,Che cos'è il programma Erasmus+?,"Nell'ambito del programma Erasmus+, l'offerta di mobilità è particolarmente elevata, con accordi bilaterali con circa 80 diverse Università estere. Questi accordi offrono opportunità di soggiorni di studio e di stage agli studenti di tutti i corsi di laurea gestiti dal Dipartimento di Ingegneria, coprendo scambi per il 1° ciclo (lauree triennali), il 2° ciclo (lauree magistrali) e il 3° ciclo (corsi di dottorato di ricerca). Le collaborazioni in ambito Erasmus+ promuovono e sostengono la mobilità degli studenti per periodi di studio (esami e tesi di laurea) e di tirocinio e stage in ambito Erasmus+ Traineeship.",1.000,0.780,0.250,0.000,0.634
2025-11-04 10:36:34,Quali sono le due tipologie principali di mobilità previste dal programma Erasmus+?,"Le due tipologie principali di mobilità previste dal programma Erasmus+ sono la mobilità per periodi di studio in ambito Erasmus+ e la mobilità per tirocinio e stage in ambito Erasmus+ Traineeship. Questo è indicato, ad esempio, dove si menziona ""la mobilità degli studenti per periodi di studio (esami e tesi di laurea) in ambito Erasmus+ e di tirocinio e stage in ambito Erasmus+ Traineeship"", e anche negli elenchi di studenti partecipanti: ""Erasmus+ for studies"" e ""Erasmus+ Traineeship"".",1.000,0.999,0.887,1.000,0.591
2025-11-04 10:36:34,Chi è il delegato Erasmus del Dipartimento di Ingegneria?,"Il contesto fornito menziona l'esistenza di un ""Delegato Erasmus"" del Dipartimento di Ingegneria, indicando che ""Il Dipartimento ha sin qui organizzato diversi incontri, a cura del Delegato Erasmus, indirizzati agli studenti di tutti corsi di laurea gestiti dal Dipartimento"". Tuttavia, il contesto non specifica chi sia questa persona o fornisce il suo nome.",1.000,0.000,0.000,0.000,0.385
2025-11-04 10:36:34,Quali attività possono essere svolte durante la mobilità a fini di studio?,Le attività che possono essere svolte durante la mobilità a fini di studio sono esami e tesi di laurea.,1.000,1.000,0.250,0.000,0.826
2025-11-04 10:36:34,Quali sono i requisiti per partecipare al programma Erasmus+ Traineeship?,Non presente nei documenti.,1.000,0.000,0.000,0.500,0.132
2025-11-04 10:36:34,In quale periodo viene pubblicato il bando Erasmus?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.156
2025-11-04 10:36:34,Dove è possibile trovare i bandi Erasmus aggiornati?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.152
2025-11-04 10:36:34,È possibile riconoscere CFU per un tirocinio svolto con Erasmus Traineeship?,"Sì, è possibile riconoscere CFU per un tirocinio. Il contesto indica che è attivo un accordo relativo all'Erasmus+ per fini di tirocinio, che gli studenti possono utilizzare nel caso optino per 'tirocinio predefinito'. In merito alle attività di tirocinio (aziendale o interno), ogni studente può fare esperienza in una singola azienda, o laboratorio interno, per un massimo di 9 CFU. Ulteriori attività di tirocinio, fino al raggiungimento del numero massimo di CFU a scelta libera a disposizione nel curriculum, potranno essere svolte solo presso altra azienda o laboratorio interno.",0.778,0.828,0.500,1.000,0.297
2025-11-04 10:36:34,Chi deve approvare il Learning Agreement?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.133
2025-11-04 10:36:34,Qual è la lingua richiesta per partecipare a un tirocinio Erasmus?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.124
2025-11-04 10:36:34,Chi approva il riconoscimento dei CFU dopo il tirocinio Erasmus?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.134
2025-11-04 10:36:34,Quali documenti sono richiesti per un tirocinio autonomo?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.140
2025-11-04 10:36:34,Quando si aprono le immatricolazioni per l'anno accademico 2025/2026?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.130
2025-11-04 10:36:34,Qual è la scadenza per immatricolarsi ai corsi di laurea triennale e magistrale a ciclo unico ad accesso libero?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.128
2025-11-04 10:36:34,Fino a quando è possibile immatricolarsi ai corsi di laurea magistrale biennali?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.126
2025-11-04 10:36:34,Come posso presentare la domanda di immatricolazione?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.130
2025-11-04 10:36:34,Chi può beneficiare dell'esenzione totale dalle tasse universitarie?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.119
2025-11-04 10:36:34,Cosa si intende per 'Low-Tax Area' secondo il regolamento?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.119
2025-11-04 10:36:34,Quali riduzioni sono previste per chi si immatricola con un voto di diploma alto?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.132
2025-11-04 10:36:34,Quali agevolazioni sono previste per studenti dello stesso nucleo familiare iscritti contemporaneamente?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.114
2025-11-04 10:36:34,A chi bisogna rivolgersi per chiedere l'esonero dal corso sulla sicurezza?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.126
2025-11-04 10:36:34,Chi è il referente per informazioni e sessioni di esame aggiuntive sul corso di sicurezza?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.135
2025-11-04 10:36:34,Come può ottenere l’attestato lo studente che supera l’esame di sicurezza?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.126
2025-11-04 10:36:34,A cosa serve il corso sulla sicurezza nei luoghi di lavoro?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.141
2025-11-04 10:36:34,Posso accedere al laboratorio senza aver seguito il corso sulla sicurezza?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.164
2025-11-04 10:36:34,Qual è il link per iscriversi al corso sulla sicurezza nei luoghi di lavoro?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.632
