timestamp,question,answer,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
2025-10-20 11:43:19,A chi sono riservati principalmente gli appelli straordinari?,Gli appelli straordinari devono essere principalmente RISERVATI ai Laureandi e comunque solo a studenti che siano a NON PIU' di 1 ESAME dal completamento del proprio piano di studi.,1.000,0.998,1.000,1.000,0.961
2025-10-20 11:43:19,Chi decide se istituire o meno un appello straordinario?,Il docente potrà considerare autonomamente quali siano i criteri per concedere o meno l’appello straordinario.,1.000,0.738,0.700,1.000,0.211
2025-10-20 11:43:19,A chi deve comunicare il docente l'istituzione di un appello straordinario?,Non presente nei documenti.,0.000,0.000,1.000,1.000,0.131
2025-10-20 11:43:19,Cosa accade se il Presidente del CIL non risponde entro una settimana alla proposta di un appello straordinario?,"In assenza di reazione del Presidente del CIL entro una settimana dalla comunicazione, varrà il criterio del silenzio assenso.",0.667,0.621,1.000,1.000,0.493
2025-10-20 11:43:19,Quali fattori può considerare il docente nel valutare una richiesta di appello straordinario?,"Il docente potrà considerare autonomamente quali siano i criteri per concedere o meno l’appello straordinario, facendo riferimento in modo non esaustivo a principi quali l’utilità dell’appello, la motivata urgenza o criticità sottostante la richiesta, il numero di studenti potenzialmente interessati, la distanza temporale dagli appelli ufficiali.",1.000,0.910,1.000,1.000,0.839
2025-10-20 11:43:19,Esiste un limite massimo di appelli straordinari che un docente può istituire?,Non presente nei documenti.,1.000,0.000,0.867,1.000,0.928
2025-10-20 11:43:19,Che cos'è il programma Erasmus+?,Non presente nei documenti.,0.000,0.666,0.000,0.000,0.139
2025-10-20 11:43:19,Quali sono le due tipologie principali di mobilità previste dal programma Erasmus+?,"mobilità a fini di studio (esami, tesi di laurea) e mobilità a fine di Traineeship (tirocinio o stage anche post-laurea).",1.000,0.983,1.000,1.000,0.599
2025-10-20 11:43:19,Chi è il delegato Erasmus del Dipartimento di Ingegneria?,Il delegato Erasmus del Dipartimento di Ingegneria è il Prof. Emilio Di Giacomo.,1.000,1.000,1.000,1.000,1.000
2025-10-20 11:43:19,Quali attività possono essere svolte durante la mobilità a fini di studio?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.137
2025-10-20 11:43:19,Quali sono i requisiti per partecipare al programma Erasmus+ Traineeship?,Non presente nei documenti.,0.000,0.000,0.200,1.000,0.132
2025-10-20 11:43:19,In quale periodo viene pubblicato il bando Erasmus?,Il bando di selezione viene pubblicato ogni anno nei primi mesi.,1.000,0.804,0.500,1.000,0.972
2025-10-20 11:43:19,Dove è possibile trovare i bandi Erasmus aggiornati?,È possibile trovare i bandi in una pagina contenente i bandi. Per informazioni sulla mobilità in ambito di accordi di cooperazione si rimanda agli specifici bandi.,0.571,0.742,0.000,0.000,0.190
2025-10-20 11:43:19,È possibile riconoscere CFU per un tirocinio svolto con Erasmus Traineeship?,"I documenti forniti non menzionano esplicitamente il termine ""Erasmus Traineeship"". Tuttavia, indicano che per un tirocinio svolto all’estero è possibile richiedere un numero di crediti formativi universitari. Nello specifico, si afferma che ""Per un tirocinio svolto all’estero è possibile richiedere un numero di crediti formativi universitari"" (Fonte 1). Viene inoltre precisato che ""Per un tirocinio svolto all’estero è possibile richiedere un numero di crediti formativi universitari superiore a 9 CFU. Tuttavia, il numero di CFU eccedente i 9 non concorrerà al totale dei CFU previsti ai fini del conseguimento del titolo di laurea, ma potrà essere certificato al tirocinante come attività extra-curriculare, ossia fuori dal suo piano di studi. Resta fermo che ad ogni CFU associato al tirocinio dovrà corrispondere un numero di 25 ore di formazione."" (Fonte 4).",0.300,0.000,1.000,1.000,0.411
2025-10-20 11:43:19,Chi deve approvare il Learning Agreement?,Il Learning Agreement deve essere approvato dal Delegato del Dipartimento e dall'ente ospitante. Il Learning Agreement deve essere approvato dal Delegato del Dipartimento e dall'Università ospitante.,1.000,0.990,1.000,1.000,0.838
2025-10-20 11:43:19,Qual è la lingua richiesta per partecipare a un tirocinio Erasmus?,"Per partecipare al programma Erasmus, gli studenti devono avere un'adeguata conoscenza della lingua richiesta dall'Università ospitante. La conoscenza di tale lingua deve essere opportunamente certificata e rientra tra i criteri per la redazione della graduatoria di merito.",1.000,0.813,0.250,1.000,0.646
2025-10-20 11:43:19,Chi approva il riconoscimento dei CFU dopo il tirocinio Erasmus?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.134
2025-10-20 11:43:19,Quali documenti sono richiesti per un tirocinio autonomo?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.140
2025-10-20 11:43:19,Quando si aprono le immatricolazioni per l'anno accademico 2025/2026?,Le immatricolazioni per l'Anno Accademico 2025/2026 si aprono il 1 agosto 2025.,1.000,0.877,1.000,1.000,0.982
2025-10-20 11:43:19,Qual è la scadenza per immatricolarsi ai corsi di laurea triennale e magistrale a ciclo unico ad accesso libero?,Il termine per le immatricolazioni ai corsi di laurea di primo livello e ai corsi di laurea magistrali a ciclo unico ad accesso libero è previsto nel giorno 20 ottobre 2025.,1.000,0.924,1.000,1.000,0.927
2025-10-20 11:43:19,Fino a quando è possibile immatricolarsi ai corsi di laurea magistrale biennali?,Il termine per le immatricolazioni ai corsi di laurea magistrali biennali è fissato nel giorno 2 marzo 2026.,1.000,0.918,0.500,1.000,0.992
2025-10-20 11:43:19,Come posso presentare la domanda di immatricolazione?,Il contesto indica che puoi compilare la domanda di immatricolazione on-line direttamente da casa accedendo al SOL - Segreterie On Line.,1.000,0.876,1.000,1.000,0.821
2025-10-20 11:43:19,Chi può beneficiare dell'esenzione totale dalle tasse universitarie?,Non presente nei documenti.,0.000,0.000,0.200,1.000,0.119
2025-10-20 11:43:19,Cosa si intende per 'Low-Tax Area' secondo il regolamento?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.119
