RISULTATI RISPOSTA HYBRID CON GEMINI: DOCUMENT STRUCTURE BASED CHUNKING

timestamp,question,answer,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness
2025-11-04 10:19:23,A chi sono riservati principalmente gli appelli straordinari?,Gli appelli straordinari devono essere principalmente RISERVATI ai Laureandi e comunque solo a studenti che siano a NON PIU' di 1 ESAME dal completamento del proprio piano di studi.,1.000,0.787,0.500,1.000,0.961
2025-11-04 10:19:23,Chi decide se istituire o meno un appello straordinario?,Il docente potrà considerare autonomamente quali siano i criteri per concedere o meno l’appello straordinario.,1.000,0.823,1.000,1.000,0.961
2025-11-04 10:19:23,A chi deve comunicare il docente l'istituzione di un appello straordinario?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.131
2025-11-04 10:19:23,Cosa accade se il Presidente del CIL non risponde entro una settimana alla proposta di un appello straordinario?,"In assenza di reazione del Presidente del CIL entro una settimana dalla comunicazione della proposta di un appello straordinario, varrà il criterio del silenzio assenso.",0.500,0.929,0.500,1.000,0.800
2025-11-04 10:19:23,Quali fattori può considerare il docente nel valutare una richiesta di appello straordinario?,"Il docente potrà considerare autonomamente quali siano i criteri per concedere o meno l’appello straordinario, facendo riferimento in modo non esaustivo a principi quali l’utilità dell’appello, la motivata urgenza o criticità sottostante la richiesta, il numero di studenti potenzialmente interessati, la distanza temporale dagli appelli ufficiali.",1.000,0.000,0.500,1.000,0.814
2025-11-04 10:19:23,Esiste un limite massimo di appelli straordinari che un docente può istituire?,Non presente nei documenti.,1.000,0.000,0.533,1.000,0.928
2025-11-04 10:19:23,Quando inizia e quando termina l'anno accademico 2025/2026?,"Per l'anno accademico 2025/2026, il periodo del primo semestre è dal 15/09/2025 al 12/12/2025. I documenti forniti non specificano le date di inizio e fine dell'intero anno accademico.",1.000,0.000,0.583,0.500,0.435
2025-11-04 10:19:23,Quali sono le principali festività nazionali indicate nel calendario?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.127
2025-11-04 10:19:23,Quali sono i giorni festivi specifici per la sede di Perugia?,Non presente nei documenti.,1.000,0.000,0.000,0.000,0.115
2025-11-04 10:19:23,Qual è il periodo previsto per le vacanze natalizie?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.136
2025-11-04 10:19:23,Quando iniziano e terminano le vacanze pasquali?,Non presente nei documenti.,0.000,0.000,0.000,0.000,0.135
2025-11-04 10:19:23,Durante quali periodi le attività didattiche sono sospese per le vacanze?,Le attività didattiche sono sospese durante le festività del Patrono della sede in cui si svolgono le attività didattiche.,0.333,0.847,0.000,0.000,0.454
