timestamp,question,answer,faithfulness,answer_relevancy,context_precision,context_recall,answer_correctness

RISPOSTA IBRIDA CON llama3.2:3b


2025-10-20 08:51:56,A chi sono riservati principalmente gli appelli straordinari?,Risposta ibrida (α=0.6): Gli appelli straordinari sono principalmente riservati ai Laureandi.,1.000,0.998,1.000,1.000,0.671
2025-10-20 08:51:56,Chi decide se istituire o meno un appello straordinario?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.000,0.000,0.700,1.000,0.131
2025-10-20 08:51:56,A chi deve comunicare il docente l'istituzione di un appello straordinario?,Risposta ibrida (α=0.6): Il docente deve comunicare l'istituzione di un appello straordinario al preside dell'ateneo.,0.000,1.000,1.000,1.000,0.168
2025-10-20 08:51:56,Cosa accade se il Presidente del CIL non risponde entro una settimana alla proposta di un appello straordinario?,"Risposta ibrida (α=0.6): Se il Presidente del CIL non risponde entro una settimana alla proposta di un appello straordinario, varrà il criterio del silenzio assenso.",1.000,0.982,1.000,1.000,0.796
2025-10-20 08:51:56,Quali fattori può considerare il docente nel valutare una richiesta di appello straordinario?,"Risposta ibrida (α=0.6): Il docente può considerare fattori come l'utilità dell'appello, la motivata urgenza o criticità sottostante la richiesta, il numero di studenti potenzialmente interessati e la distanza temporale dagli appelli ufficiali.",1.000,0.913,1.000,1.000,0.953
2025-10-20 08:51:56,Esiste un limite massimo di appelli straordinari che un docente può istituire?,Risposta ibrida (α=0.6): Non presente nei documenti.,1.000,0.000,0.867,1.000,0.909
2025-10-20 08:51:56,Che cos'è il programma Erasmus+?,"Risposta ibrida (α=0.6): Il programma Erasmus+ è il Programma dell'Unione Europea per l'istruzione, la formazione, la gioventù e lo sport. Offre l’opportunità agli studenti di qualsiasi indirizzo e ciclo di studi di studiare e formarsi all’estero presso un istituto d'istruzione superiore partner, o di acquisire esperienza lavorativa attraverso un tirocinio in un'impresa, un istituto di ricerca, un laboratorio, un'organizzazione o qualsiasi altro posto di lavoro pertinente.",0.000,0.992,0.000,0.000,0.751
2025-10-20 08:51:56,Quali sono le due tipologie principali di mobilità previste dal programma Erasmus+?,"Risposta ibrida (α=0.6): Il programma Erasmus+ prevede due tipologie principali di mobilità: mobilità a fini di studio (esami, tesi di laurea) e mobilità a fine di Traineeship (tirocinio o stage anche post-laurea).",1.000,0.957,1.000,1.000,0.607
2025-10-20 08:51:56,Chi è il delegato Erasmus del Dipartimento di Ingegneria?,"Risposta ibrida (α=0.6): Il delegato Erasmus del Dipartimento di Ingegneria non è specificamente indicato in tutti i documenti. Tuttavia, secondo il contesto fornito, il Prof. Emilio Di Giacomo è menzionato come il delegato Erasmus per l'internazionalizzazione del Dipartimento di Ingegneria.",0.500,0.968,1.000,1.000,0.587
2025-10-20 08:51:56,Quali attività possono essere svolte durante la mobilità a fini di studio?,"Risposta ibrida (α=0.6): Durante la mobilità a fini di studio, sono possibili svolgere diverse attività. Secondo [Fonte 2], le attività di mobilità a fine di studio includono il lavoro accademico, l'attività di ricerca e i corsi di formazione. Inoltre, secondo [Fonte 3] si possono svolgere le attività di tirocinio/tesi. La possibilità di partecipare a seminari, workshop o corsi di formazione presso l'università ospitante è inoltre una delle attività che spesso si svolgono durante una mobilità a fini di studio, anche se non è citata esplicitamente nei testi forniti.",0.286,0.945,0.000,0.000,0.777
2025-10-20 08:51:56,Quali sono i requisiti per partecipare al programma Erasmus+ Traineeship?,"Risposta ibrida (α=0.6): Per partecipare al programma Erasmus+ Traineeship è necessario essere regolarmente iscritti all'università degli Studi di Perugia per l'anno accademico in corso e avere un'adeguata conoscenza della lingua richiesta dall'università ospitante. I criteri di selezione includono il rendimento accademico (media e numero di CFU conseguiti), la conoscenza della lingua richiesta dall'università ospitante (opportunamente certificata) e le motivazioni per effettuare la mobilità (descritte dal candidato in una lettera motivazionale).",1.000,0.973,0.200,1.000,0.653
2025-10-20 08:51:56,In quale periodo viene pubblicato il bando Erasmus?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.000,0.000,0.500,1.000,0.152
2025-10-20 08:51:56,Dove è possibile trovare i bandi Erasmus aggiornati?,"Risposta ibrida (α=0.6): I bandi Erasmus possono essere trovati sul portale ufficiale dell'Erasmus, oppure attraverso il sito web del Dipartimento di Ingegneria che ha accordi Erasmus attivi con diverse Università estere Europee ed extra-Europee. La lista delle destinazioni e delle borse disponibili per ogni destinazione è allegata al bando, che viene pubblicato ogni anno nei primi mesi.",0.250,0.903,0.000,0.000,0.201
2025-10-20 08:51:56,È possibile riconoscere CFU per un tirocinio svolto con Erasmus Traineeship?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.000,0.000,0.700,1.000,0.136
2025-10-20 08:51:56,Chi deve approvare il Learning Agreement?,"Risposta ibrida (α=0.6): Secondo [Fonte 1] e [Fonte 2], il Learning Agreement deve essere approvato dal Delegato del Dipartimento e dall'ente ospitante. Non presente nei documenti.",0.500,0.000,1.000,1.000,0.702
2025-10-20 08:51:56,Qual è la lingua richiesta per partecipare a un tirocinio Erasmus?,"Risposta ibrida (α=0.6): La lingua richiesta per partecipare a un tirocinio Erasmus non è esplicitamente menzionata nei documenti forniti. Tuttavia, Fonte 1 menziona che gli studenti devono avere ""un'adeguata conoscenza della lingua richiesta dall'Università ospitante"", senza specificare quale lingua sia questa. Non ci sono altri riferimenti a una lingua specifica nella documentazione fornita.",0.500,0.000,0.250,1.000,0.572
2025-10-20 08:51:56,Chi approva il riconoscimento dei CFU dopo il tirocinio Erasmus?,Risposta ibrida (α=0.6): Il riconoscimento dei CFU dopo il tirocinio Erasmus viene approvato dal Consiglio Intercorso di Laurea.,0.000,0.997,0.000,0.000,0.167
2025-10-20 08:51:56,Quali documenti sono richiesti per un tirocinio autonomo?,Risposta ibrida (α=0.6): Per un tirocinio autonomo sono richiesti i documenti sopra citati. Si raccomanda di far pervenire i documenti richiesti almeno un mese prima della data prevista per l’inizio del tirocinio.,0.000,0.471,0.000,0.000,0.402
2025-10-20 08:51:56,Quando si aprono le immatricolazioni per l'anno accademico 2025/2026?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.333,0.000,1.000,1.000,0.143
2025-10-20 08:51:56,Qual è la scadenza per immatricolarsi ai corsi di laurea triennale e magistrale a ciclo unico ad accesso libero?,Risposta ibrida (α=0.6): La scadenza per immatricolarsi ai corsi di laurea triennale e magistrale a ciclo unico ad accesso libero è prevista nel giorno 20 ottobre 2025.,1.000,1.000,1.000,1.000,0.930
2025-10-20 08:51:56,Fino a quando è possibile immatricolarsi ai corsi di laurea magistrale biennali?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.000,0.000,0.500,1.000,0.140
2025-10-20 08:51:56,Come posso presentare la domanda di immatricolazione?,"Risposta ibrida (α=0.6): Per presentare la domanda di immatricolazione è necessario accedere al SOL - Segreterie On Line, dove è possibile compilare la domanda online direttamente da casa.",1.000,0.987,1.000,1.000,0.963
2025-10-20 08:51:56,Chi può beneficiare dell'esenzione totale dalle tasse universitarie?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.333,0.000,0.200,1.000,0.126
2025-10-20 08:51:56,Cosa si intende per 'Low-Tax Area' secondo il regolamento?,Risposta ibrida (α=0.6): Non presente nei documenti.,1.000,0.000,0.000,0.000,0.131
2025-10-20 08:51:56,Quali riduzioni sono previste per chi si immatricola con un voto di diploma alto?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.000,0.000,1.000,1.000,0.123
2025-10-20 08:51:56,Quali agevolazioni sono previste per studenti dello stesso nucleo familiare iscritti contemporaneamente?,Risposta ibrida (α=0.6): Non presente nei documenti.,1.000,0.000,0.000,0.000,0.434
2025-10-20 08:51:56,A chi bisogna rivolgersi per chiedere l'esonero dal corso sulla sicurezza?,"Risposta ibrida (α=0.6): Per chiedere l'esonero dal corso sulla sicurezza, è necessario rivolgersi all'Ufficio sicurezza luoghi di lavoro.",1.000,0.620,1.000,1.000,0.679
2025-10-20 08:51:56,Chi è il referente per informazioni e sessioni di esame aggiuntive sul corso di sicurezza?,"Risposta ibrida (α=0.6): Il referente per informazioni e sessioni di esame aggiuntive sul corso di sicurezza è il prof. Antonio Moschitta, che può essere contattato direttamente all'indirizzo e-mail antonio.moschitta@unipg.it.",0.500,1.000,0.250,1.000,0.964
2025-10-20 08:51:56,Come può ottenere l’attestato lo studente che supera l’esame di sicurezza?,Risposta ibrida (α=0.6): Lo studente che supera l'esame di sicurezza può ottenere l'attestato scaricandolo dall'area riservata una volta superato l'esame.,0.800,0.967,1.000,1.000,0.938
2025-10-20 08:51:56,A cosa serve il corso sulla sicurezza nei luoghi di lavoro?,"Risposta ibrida (α=0.6): Il corso sulla sicurezza nei luoghi di lavoro serve a rispettare le norme in materia di igiene, sicurezza e salute sui luoghi di lavoro, con particolare riferimento all’art. 20 del D. lgs 81/08.",1.000,1.000,1.000,1.000,0.170
2025-10-20 08:51:56,Posso accedere al laboratorio senza aver seguito il corso sulla sicurezza?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.000,0.000,1.000,1.000,0.152
2025-10-20 08:51:56,Qual è il link per iscriversi al corso sulla sicurezza nei luoghi di lavoro?,Risposta ibrida (α=0.6): Non presente nei documenti.,1.000,0.000,0.000,0.000,0.630
2025-10-20 08:51:56,Il corso sulla sicurezza è erogato in presenza o a distanza?,"Risposta ibrida (α=0.6): Il corso sulla sicurezza non è espressamente indicato come essere erogato in presenza o a distanza. Tuttavia, è presente una menzione al fatto che l'accesso ai laboratori richiede il seguito di un corso sulla sicurezza nei luoghi di lavoro e la sostenuta prova di esame. Non sono presenti riferimenti chiari su come essere impartito il corso, se in presenza o a distanza.",1.000,0.000,0.000,0.000,0.318
2025-10-20 08:51:56,Cosa deve fare uno studente che non ha seguito il corso di sicurezza nella scuola superiore?,"Risposta ibrida (α=0.6): Se lo studente non ha seguito il corso di sicurezza nella scuola superiore, deve chiedere l'esonero all'Ufficio sicurezza luoghi di lavoro (giovanni.chiappavento@unipg.it ) e sostenere la prova di esame.",0.750,0.725,0.000,0.000,0.162
2025-10-20 08:51:56,È possibile organizzare sessioni di esame aggiuntive per il corso sulla sicurezza?,"Risposta ibrida (α=0.6): È possibile organizzare sessioni di esame aggiuntive per il corso sulla sicurezza, poiché, secondo Fonte 2, ""A richiesta possono essere organizzate sessioni di esame aggiuntive;"" .",0.333,0.516,0.500,1.000,0.504
2025-10-20 08:51:56,Qual è l'orario delle lezioni di Intelligent and Secure Networks e quali sono le date degli appelli d'esame?,Risposta ibrida (α=0.6): Non presente nei documenti.,1.000,0.000,0.000,0.000,0.112
2025-10-20 08:51:56,Quali sono i moduli che servono per fare il tirocinio e con che tempistiche vanno consegnati?,Risposta ibrida (α=0.6): Non presente nei documenti.,1.000,0.000,0.000,0.000,0.128
2025-10-20 08:51:56,Quali strutture e servizi sono disponibili per gli studenti di Ingegneria a Perugia?,"Risposta ibrida (α=0.6): Gli studenti di Ingegneria dell'Università di Perugia possono accedere a diversi servizi e strutture per supportare la loro formazione. Innanzitutto, il SOL (Servizio di Segreteria Unificata) fornisce assistenza ai studenti senza dover recarsi allo sportello, mentre per eventuali chiarimenti o richieste di assistenza possono contattare l'indirizzo e-mail help.didattica@unipg.it. Inoltre, gli studenti hanno a disposizione laboratori di supporto alla didattica e alla ricerca e una vasta Biblioteca Centrale con sale di lettura. Possono anche utilizzare spazi attrezzati per lo studio e beneficiare del servizio mensa. Il campus di Ingegneria è dotato di ampi spazi verdi e di un servizio di ristoro bar, inoltre una vasta Biblioteca Centrale con sale di lettura.",0.824,0.973,0.333,1.000,0.747
2025-10-20 08:51:56,Dove si trova il campus di Ingegneria e come è possibile raggiungerlo?,Risposta ibrida (α=0.6): Non presente nei documenti.,1.000,0.000,0.250,0.333,0.124
2025-10-20 08:51:56,È disponibile una rete Wi-Fi per gli studenti?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.000,0.000,0.500,1.000,0.128
2025-10-20 08:51:56,Quali sono i giorni e gli orari di apertura al pubblico della Segreteria Studenti?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.000,0.000,0.200,1.000,0.127
2025-10-20 08:51:56,Come si può contattare la Segreteria Studenti per telefono?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.500,0.000,0.000,0.000,0.121
2025-10-20 08:51:56,Qual è l’indirizzo email della Segreteria Didattica del Dipartimento di Ingegneria?,Risposta ibrida (α=0.6): Non presente nei documenti.,1.000,0.000,0.000,0.000,0.137
2025-10-20 08:51:56,Come si può accedere ai servizi di segreteria senza recarsi fisicamente allo sportello?,"Risposta ibrida (α=0.6): È presente nei documenti il servizio di segreteria chiamato SOL. Secondo [Fonte 2], si tratta del servizio che l'ateneo di Perugia mette a disposizione degli studenti per accedere ai servizi di segreteria senza recarsi allo sportello.",0.800,0.577,0.700,0.000,0.547
2025-10-20 08:51:56,A chi scrivere per assistenza sulla segreteria online SOL?,"Risposta ibrida (α=0.6): Per assistenza sulla segreteria online SOL, è possibile contattare la segreteria studenti dell'ateneo di Perugia. In particolare, lo studente può inviare una email al seguente indirizzo: help.didattica@unipg.it",1.000,0.932,1.000,1.000,0.187
2025-10-20 08:51:56,È possibile aprire un ticket per richiedere assistenza alla Segreteria Studenti?,Risposta ibrida (α=0.6): È possibile aprire un ticket per richiedere assistenza alla Segreteria Studenti.,1.000,0.774,0.867,0.000,0.671
2025-10-20 08:51:56,Quali sono i giorni entro cui uno studente deve presentare la domanda di laurea e consegnare la tesi?,Risposta ibrida (α=0.6): Non presente nei documenti.,1.000,0.000,0.000,0.000,0.146
2025-10-20 08:51:56,Dove si compila la domanda di laurea online?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.000,0.000,0.583,1.000,0.146
2025-10-20 08:51:56,Quanto costa la stampa della pergamena se richiesta durante la domanda di laurea?,"Risposta ibrida (α=0.6): La richiesta di stampa della pergamena è possibile solo in fase di compilazione della domanda di laurea, dove il sistema metterà in disponibilità il contributo di 132 euro comprensivo anche del bollo previsto per la domanda di esame di laurea.",0.667,0.467,0.500,1.000,0.520
2025-10-20 08:51:56,"In base alle linee guida, quanti punti può ottenere una tesi di ricerca per la presentazione e discussione?","Risposta ibrida (α=0.6): Secondo le linee guida presentate, un massimo di 4 punti può essere ottenuto per la presentazione e discussione della tesi.",1.000,0.863,0.333,1.000,0.656
2025-10-20 08:51:56,Quali allegati sono obbligatori nella domanda di laurea online?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.000,0.000,0.000,0.000,0.151
2025-10-20 08:51:56,Quali sono i criteri di valutazione per una tesi compilativa?,Risposta ibrida (α=0.6): Non presente nei documenti.,1.000,0.000,0.200,0.500,0.136
2025-10-20 08:51:56,Quando può essere assegnata la lode nella laurea magistrale?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.000,0.000,0.500,0.000,0.139
2025-10-20 08:51:56,Come si calcola il voto di laurea magistrale?,"Risposta ibrida (α=0.6): Il voto di laurea magistrale si calcola dalla somma, arrotondata all’unità, della media curriculare e del punteggio assegnato alla tesi di laurea.",1.000,1.000,0.700,1.000,0.935
2025-10-20 08:51:56,Qual è il numero massimo di CFU di tirocinio che uno studente può ottenere nella stessa azienda?,Risposta ibrida (α=0.6): Non presente nei documenti.,1.000,0.000,0.000,0.000,0.135
2025-10-20 08:51:56,A quante ore di attività corrisponde un CFU di tirocinio?,"Risposta ibrida (α=0.6): Secondo la Fonte 1, a 1 CFU corrispondono 25 ore di attività di tirocinio. Non ci sono altri riferimenti espliciti agli ore di attività per 1 CFU di tirocinio nei documenti forniti.",0.000,0.971,0.417,1.000,0.687
2025-10-20 08:51:56,Qual è il numero massimo di tirocinanti che un'azienda con 10 dipendenti può ospitare contemporaneamente?,Risposta ibrida (α=0.6): Non presente nei documenti.,0.000,0.000,0.417,1.000,0.139
2025-10-20 08:51:56,Un docente universitario può essere tutor di quanti tirocinanti interni?,"Risposta ibrida (α=0.6): Secondo i documenti disponibili, un docente universitario può essere tutor di massimo 3 tirocini interni contemporaneamente.",1.000,0.904,0.867,1.000,0.915
2025-10-20 08:51:56,L’attività lavorativa passata può essere riconosciuta come tirocinio curriculare?,"Risposta ibrida (α=0.6): L'attività lavorativa passata può essere riconosciuta come tirocinio curriculare solo se è stata certificata in base alla normativa vigente e si è conclusa entro i 3 anni dalla data di presentazione della domanda di riconoscimento, come specificato in Fonte 3.",0.750,0.974,0.367,1.000,0.373
2025-10-20 08:51:56,Quanto tempo prima bisogna consegnare i moduli di tirocinio?,"Risposta ibrida (α=0.6): I moduli di tirocinio devono essere consegnati prima dell'inizio del periodo di tirocinio. Non è specificato un tempo preciso, ma si suggerisce di consegnare i documenti firmati e timbrati dalla struttura ospitante alla Segreteria Didattica del Dipartimento di Ingegneria almeno prima dell'inizio del tirocinio.",0.667,0.000,0.000,0.000,0.540
2025-10-20 08:51:56,Cosa accade se l’azienda non è ancora convenzionata con il Dipartimento?,"Risposta ibrida (α=0.6): Se l’azienda non è ancora convenzionata con il Dipartimento, si raccomanda un intervallo più ampio per l'accesso al tirocinio. In questo caso, dovrà essere finalizzata una Convenzione di tirocinio tra l’azienda e il Dipartimento, come previsto in [Fonte 2].",0.667,0.861,0.478,1.000,0.671
2025-10-20 08:51:56,Come si svolge la verbalizzazione del tirocinio?,Risposta ibrida (α=0.6): Non presente nei documenti.,1.000,0.000,0.583,0.000,0.152
2025-10-20 08:51:56,Chi deve firmare il registro delle ore di tirocinio?,Risposta ibrida (α=0.6): Il registro delle ore di tirocinio deve essere firmato dal tutor aziendale al termine del tirocinio.,1.000,0.797,0.250,1.000,0.892
2025-10-20 08:51:56,Qual è la valutazione finale del tirocinio?,"Risposta ibrida (α=0.6): La valutazione finale del tirocinio non è esplicitamente menzionata nei documenti forniti. Tuttavia, si può inferire che la valutazione finale dell'attività di stage viene effettuata utilizzando il modulo di valutazione dell'esperienza di tirocinio compilato sia dallo studente che dal tutor aziendale, al termine del tirocinio.",0.667,0.000,0.000,0.000,0.322
2025-10-20 08:51:56,Il tirocinio può essere svolto in remoto?,Risposta ibrida (α=0.6): Non presente nei documenti.,1.000,0.000,0.000,0.000,0.144
2025-10-20 08:51:56,È possibile svolgere il tirocinio presso un laboratorio interno del Dipartimento?,"Risposta ibrida (α=0.6): È possibile svolgere il tirocinio presso un laboratorio interno del Dipartimento. Secondo la Fonte 5, i Corsi di Studio di area informazione offrono all'studente la possibilità di svolgere tirocini sia presso aziende convenzionate (tirocinio aziendale) che presso i Laboratori del Dipartimento (tirocinio interno).",0.833,1.000,1.000,1.000,0.524
2025-10-20 08:51:56,Qual è l’indirizzo email a cui inviare il registro firme del tirocinio?,"Risposta ibrida (α=0.6): L'indirizzo email a cui inviare il registro firme del tirocinio non è esplicitamente indicato nei documenti forniti. Tuttavia, come si legge nel Documento 2, tutte le comunicazioni personali sugli esiti della procedura verranno notificate all'indirizzo mail istituzionale dello studente sul dominio @studenti.unipg.it.",0.400,0.000,0.000,0.000,0.163
